SYMBOL,SERIES,SECURITY,HIGH/LOW
980SCL33C,ND,SEC RE NCD 10.03% SR X,H
AAATECH,EQ,AAA TECHNOLOGIES LIMITED,H
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,H
ARSHIYA,BZ,ARSHIYA LIMITED,H
ARVEE,BE,ARVEE LABORATORIES I LTD,H
AXITA,BE,AXITA COTTON LIMITED,H
BALAJIPHOS,SM,BALAJI PHOSPHATES LIMITED,H
BGLOBAL,BZ,BHARATIYA GLOBAL INFO LTD,H
BOHRAIND,EQ,BOHRA INDUSTRIES LIMITED,H
BORANA,BE,BORANA WEAVES LIMITED,H
BULKCORP,SM,BULKCORP INTERNATIONAL L,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CENTUM,EQ,CENTUM ELECTRONICS LTD,H
CMICABLES,BZ,CMI LIMITED,H
COMPINFO,BZ,COMPUAGE INFOCOM LTD,H
DENEERS,SM,DE NEERS TOOLS LIMITED,H
DIL,BZ,DEBOCK INDUSTRIES LIMITED,H
EIFFL,EQ,EURO (I) FRESH FOODS LTD,H
EMBDL,BE,EMBASSY DEVELOPMENTS LTD,H
EPWINDIA,ST,EPW INDIA LIMITED,H
FAZE3Q,EQ,FAZE THREE LIMITED,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
GAYAPROJ,BZ,GAYATRI PROJECTS LTD,H
GFSTEELS,BE,GRAND FOUNDRY LTD,H
GVPTECHPP,E1,GVPTECH RE.1 PPD UP,H
HYBRIDFIN,BE,HYBRID FINANCIAL SERVICE,H
ITTL,ST,INNOVATIVE TYRE & TUBE LT,H
JAYNECOIND,EQ,JAYASWAL NECO INDUSTR LTD,H
JTLIND,EQ,JTL INDUSTRIES LIMITED,H
JYOTIGLOBL,SM,JYOTI GLOBAL PLAST LTD,H
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,H
LATTEYS,BE,LATTEYS INDUSTRIES LTD,H
LCCINFOTEC,EQ,LCC INFOTECH LTD,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MAL,SM,MANGALAM ALLOYS LIMITED,H
MANGALAM,BE,MANGALAM DRUG & CHEM LTD,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MEDIORG,SM,MEDICAMEN ORGANICS LTD,H
MEP,BZ,MEP INFRA. DEVELOPERS LTD,H
MILTON,SM,MILTON INDUSTRIES LIMITED,H
MVKAGRO,SM,M.V.K. AGRO FOOD PROD LTD,H
NEUEON,BE,NEUEON CORPORATION LTD,H
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,H
PENTAGON,ST,PENTAGON RUBBER LIMITED,H
QUINTEGRA,BE,QUINTEGRA SOLUTIONS LTD.,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,H
SEYAIND,BE,SEYA INDUSTRIES LIMITED,H
SHANTHALA,ST,SHANTHALA FMCG PRODUCTS L,H
SHRIKANHA,SM,SHRI KANHA STAINLESS LTD,H
SILLYMONKS,BE,SILLY MONKS ENTERTAIN LTD,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SKIL,BZ,SKIL INFRASTRUCTURE LTD.,H
SPCENET,BE,SPACENET ENTERS IND LTD,H
SUDEEPPHRM,EQ,SUDEEP PHARMA LIMITED,H
SUMEETINDS,EQ,SUMEET IND LIMITED,H
SWANDEF,BE,SWAN DEFENCE N HEVY IND L,H
TAPIFRUIT,SM,TAPI FRUIT PROCESSING LTD,H
TNTELE,EQ,TAMILNADU TELECOMMUNICATI,H
UNIVAFOODS,BE,UNIVA FOODS LIMITED,H
VILINBIO,SM,VILIN BIO MED LIMITED,H
VINEET-RE,BE,VINEET LABORATORIES LTD,H
VIPULLTD,BE,VIPUL LIMITED,H
VOLERCAR,ST,VOLER CAR LIMITED,H
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,H
YUDIZ,SM,YUDIZ SOLUTIONS LIMITED,H
1035UCL26,NA,SEC RE NCD 10.35% SR III,L
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,L
AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD,L
ACCPL,ST,ACCRETION PHARMA LIMITED,L
AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,L
AGUL,SM,A G UNIVERSAL LIMITED,L
AILIMITED,SM,ABHISHEK INTEGRATIONS LTD,L
AMEYA,SM,AMEYA PRECISION ENG LTD,L
ARHAM,ST,ARHAM TECHNOLOGIES LTD,L
ARVINDPORT,SM,ARVIND PORT AND INFRA LTD,L
ASPIRE,SM,ASPIRE & INNOVATIVE ADV L,L
ASTRON,EQ,ASTRON PAPER BORD MIL LTD,L
AURIGROW,BE,AURI GROW INDIA LIMITED,L
AXISCADES,EQ,AXISCADES TECH LTD,L
AXITA,BE,AXITA COTTON LIMITED,L
BAFNAPH,BE,BAFNA PHARMACEUTICALS LTD,L
BALCO,SM,SOLVE PLASTIC PRODUCTS L,L
BFUTILITIE,BZ,BF UTILITIES LIMITED,L
BGLOBAL,BZ,BHARATIYA GLOBAL INFO LTD,L
BGRENERGY,EQ,BGR ENERGY SYSTEMS LTD,L
BHAGYANGR,BE,BHAGYANAGAR INDIA LIMITED,L
BIKEWO,ST,BIKEWO GREEN TECH LIMITED,L
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,L
BLUECOAST,EQ,BLUE COAST HOTELS LIMITED,L
BUILDPRO,BE,SHANKARA BUILDPRO LIMITED,L
CAPTRUST,EQ,CAPITAL TRUST LIMITED,L
CBAZAAR,ST,NET AVENUE TECHNOLOGIES L,L
CEREBRAINT,BZ,CEREBRA INT TECH LTD,L
CMICABLES,BZ,CMI LIMITED,L
COMPINFO,BZ,COMPUAGE INFOCOM LTD,L
COMSYN,BE,COMMERCIAL SYN BAGS LTD,L
CONTI,SM,CONTINENTAL SEED CHEM LTD,L
CPS,ST,C P S SHAPERS LIMITED,L
CURAA,BE,CURA TECHNOLOGIES LIMITED,L
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,L
DHARIWAL,ST,DHARIWALCORP LIMITED,L
DIVYADHAN,SM,DIVYADHAN RECYCLING IND L,L
DRONE,SM,DRONE DESTINATION LIMITED,L
DRSCARGO,ST,DRS CARGO MOVERS LIMITED,L
