MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AZ,1015SCL28B,SEC RE NCD 10.15% SR VII,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    50000.00,50, ,3,      1252.80,       860.10
N,N0,1075WCAP28,WCAPL 10.75% 2028,     90000.00,     95000.00,     95000.00,     95000.00,     95000.00,                    95000.00,1, ,1,     97000.00,     81000.00
N,N0,111ESFB31,ESFB 11.1% 2031 SR 1,     97685.00,     97685.00,     97700.00,     96000.01,     96944.44,                  1751710.02,18, ,6,    100700.00,     96000.00
N,N0,115VCCL28,VCCL 11.5% 2028 SR C,    100315.07,    100409.59,    100409.59,    100409.59,    100409.59,                  2409830.16,24, ,10,    101260.27,    100063.61
N,N0,125VCCL31,VCCL 12.5% 2031,     97900.00,     96200.00,     96500.00,     96100.00,     96340.00,                  1251800.00,13, ,6,     97900.00,     95500.00
N,N0,12AFIL27,AFIL 12% 2027 SR 1,      9700.06,      9779.00,      9779.00,      9779.00,      9779.00,                    29337.00,3,XI,1,     10000.00,      8100.00
N,N0,12AFIL27A,AFIL 12% 2027,      9822.67,      9900.00,      9900.00,      9900.00,      9900.00,                    19800.00,2, ,1,     10041.17,      8602.00
N,N0,12AFIL28,AFIL 12% 2028,      9800.00,      9800.00,      9800.00,      9800.00,      9800.00,                   196000.00,20, ,3,      9950.00,      9202.00
N,N0,12VCCL27,VCCL 12% 2027 SR A,     98500.00,     98500.00,     98500.00,     98500.00,     98500.00,                    98500.00,1, ,1,    102000.00,     95000.00
N,N0,12VCCL27B,VCCL 12% 2027,     99501.00,     98000.00,     98000.00,     98000.00,     98000.00,                    98000.00,1,XI,1,    102000.00,     90000.00
N,N0,915APSBC33,APSBC 9.15% 2033 STRPP H,    102876.14,    102950.18,    102950.18,    102950.18,    102950.18,                   514750.90,5, ,1,    103231.42,    101796.05
N,N0,930APMD27,APMD 9.30% 2027 STRPP A,    100500.00,    100500.00,    100995.00,    100500.00,    100995.00,                   503490.00,5, ,3,    102497.54,     99801.75
N,N0,930APMD28,APMD 9.30% 2028 STRPP B,    101800.00,    101300.00,    101300.00,    101300.00,    101300.00,                   607800.00,6, ,3,    105000.00,     99999.00
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,    104021.64,    104350.00,    104350.00,    104350.00,    104350.00,                  1043500.00,10, ,1,    106868.00,    100663.00
N,N0,930APMD35,APMD 9.30% 2035 STRPP I,    104497.12,    104650.00,    104650.00,    104000.00,    104000.00,                   627250.00,6, ,2,    107999.00,    100000.00
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       407.00,       407.00,       407.00,       407.00,       407.00,                      814.00,2, ,1,       755.00,       375.10
N,N0,975SCL35,SCL 9.75% 2035 SR II,     90854.00,     98750.00,     98750.00,     98750.00,     98750.00,                    98750.00,1, ,1,    103489.73,     90500.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1157.00,      1143.20,      1157.50,      1143.20,      1157.50,                   172195.00,150, ,2,      1171.50,      1032.00
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,      1005.00,       985.00,       985.00,       985.00,       985.00,                    44325.00,45, ,2,      1196.00,       955.67
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1009.69,      1009.69,      1009.69,      1000.00,      1001.00,                    16033.38,16, ,5,      1035.00,       850.00
N,N1,1075SCL34C,SEC RE NCD 10.75% SR XI,      1049.00,      1049.00,      1049.00,      1049.00,      1049.00,                    78675.00,75, ,3,      1073.80,       900.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       313.94,       307.66,       312.55,       307.66,       312.51,                    91090.25,292, ,5,       342.10,       300.08
N,N1,865IHFL27,SEC RE NCD 8.65% SR III,       989.50,       950.00,       970.00,       950.00,       970.00,                    33425.00,35, ,5,      1001.65,       826.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1017.00,      1017.00,      1017.00,      1017.00,      1017.00,                    61020.00,60, ,2,      1045.00,       990.25
N,N1,888ECL28,ECL 8.88% 2028 SR V,       970.00,       970.00,       979.00,       970.00,       979.00,                    20550.00,21, ,2,       985.00,       785.00
N,N1,8SMC29,SMC 8% 2029 STRPP A,       510.00,       515.00,       515.00,       515.00,       515.00,                   157075.00,305, ,2,       520.00,       496.10
N,N1,925AEL26,SEC RE NCD 9.25% SR I,      1043.00,      1032.01,      1032.01,      1032.00,      1032.00,                    19608.10,19, ,2,      1090.00,       993.23
N,N1,925SCL27B,SCL 9.25% SR II,       984.00,       984.00,       984.00,       984.00,       984.00,                      984.00,1, ,1,      1020.00,       901.00
N,N1,IHFL261224,SEC RE NCD SR II,      1060.20,      1080.00,      1080.00,      1080.00,      1080.00,                    49680.00,46, ,1,      1080.00,       945.20
N,N1,SCL19325A,SCL SR III,      1026.00,      1070.00,      1070.00,      1070.00,      1070.00,                    53500.00,50, ,1,      1070.00,       830.20
N,N1,SCL25924D,SEC RE NCD SR VI,      1030.10,      1122.63,      1122.63,      1122.63,      1122.63,                    11226.30,10, ,1,      1122.63,       993.00
N,N2,736PFCL28,7.36% TAX FREE NCD,      1058.00,      1035.76,      1035.76,      1035.76,      1035.76,                     1035.76,1, ,1,      1109.50,      1033.10
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1040.10,      1040.10,      1040.80,      1040.10,      1040.80,                   280967.00,270, ,3,      1109.90,      1032.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1159.77,      1149.05,      1149.05,      1149.05,      1149.05,                    57452.50,50, ,1,      1174.00,      1085.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       315.40,       313.00,       315.40,       310.00,       310.00,                   420951.00,1343, ,5,       333.71,       303.80
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1050.50,      1050.50,      1054.00,      1047.05,      1052.14,                   977533.79,932, ,32,      1120.70,      1028.60
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1051.29,      1052.00,      1052.69,      1050.85,      1052.31,                  5678178.76,5400, ,57,      1198.79,      1029.00
N,N2,863NHB29,BOND 8.63%PA TF TR-I S 2A,      5462.50,      5475.00,      5475.00,      5475.00,      5475.00,                   273750.00,50, ,1,      6670.00,      5403.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1058.00,      1061.50,      1061.50,      1058.00,      1058.08,                   209503.50,198, ,4,      1098.80,       996.66
N,N2,9SCL27,SCL 9.00% 2027 SR I,      1005.50,      1008.00,      1008.00,      1008.00,      1008.00,                     6048.00,6, ,1,      1020.00,       887.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       257.00,       250.00,       250.00,       250.00,       250.00,                     6250.00,25, ,1,       261.00,       207.00
N,N3,10ISFL26,SEC RE NCD 10% SR 4,       996.55,      1005.80,      1005.80,      1005.80,      1005.80,                    10058.00,10, ,1,      1085.00,       957.06
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       416.50,       419.00,       419.00,       416.00,       416.00,                   346379.72,832, ,8,       483.86,       404.00
N,N3,7PFCL31,PFCL 7.00% 2031 SR I,       970.00,       950.60,       970.00,       950.60,       970.00,                    99537.50,103, ,24,       990.00,       950.60
N,N3,866NTPC33,8.66%S-R-NCD SERIES 3A,      1289.90,      1289.99,      1290.00,      1289.99,      1289.99,                   116099.50,90, ,3,      1470.00,      1210.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       252.35,       251.00,       251.00,       246.00,       247.22,                    10136.20,41, ,3,       269.00,       211.00
N,N3,M&MFIN,UNSECURED NCD,      2265.00,      2260.00,      2294.89,      2260.00,      2289.90,                  1385128.60,610, ,11,      2335.01,      1823.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,      1012.00,      1010.00,      1012.00,      1010.00,      1010.00,                   256942.59,254, ,10,      1199.00,       948.25
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1032.59,      1032.25,      1032.25,      1032.25,      1032.25,                     5161.25,5, ,1,      1079.50,       961.00
N,N4,704REC28,BOND 7.04% PA TAX FREE S2,      1233.90,      1180.00,      1180.00,      1180.00,      1180.00,                    35400.00,30, ,2,      1233.90,      1027.10
N,N4,865SCL27,SCL 8.65% 2027 SR II,       992.00,       990.00,       990.00,       990.00,       990.00,                     1980.00,2, ,1,       995.00,       905.20
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1224.50,      1225.00,      1225.00,      1224.50,      1224.94,                   221714.50,181, ,14,      1348.00,      1215.00
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1032.75,      1021.25,      1032.00,      1021.25,      1032.00,                    32895.00,32, ,2,      1084.10,       912.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1045.30,      1055.00,      1055.00,      1054.90,      1054.90,                    73845.00,70, ,3,      1140.00,       984.70
N,N5,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,      1034.90,      1032.51,      1035.00,      1032.51,      1035.00,                  1096621.50,1060, ,6,      1115.00,      1032.21
N,N5,830PFCL27,8.30% TAX FREE NCD,      1050.00,      1055.00,      1055.00,      1055.00,      1055.00,                    52750.00,50, ,1,      1119.90,      1029.21
N,N5,935LTF29,SE RE NCD 9.35% SR.V OP2,      1145.05,      1121.61,      1144.00,      1119.00,      1138.51,                  1142386.09,1014, ,19,      1199.80,      1030.00
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       998.89,       997.01,       999.00,       996.51,       999.00,                  1280343.55,1283, ,11,      1001.00,       940.00
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,      1015.00,      1015.00,      1024.90,      1015.00,      1024.90,                    44679.80,44, ,4,      1161.00,       963.30
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1050.00,      1050.00,      1050.00,      1050.00,      1050.00,                     5250.00,5, ,1,      1083.00,       973.20
N,N6,704IRFC28,BOND 7.04% PA TAX FREE S2,      1045.00,      1047.61,      1047.61,      1047.61,      1047.61,                    58666.16,56, ,1,      1174.00,      1030.31
N,N6,829PFL29,SEC RED NCD 10.27% SR. VI,      1100.01,      1260.00,      1260.00,      1260.00,      1260.00,                    17640.00,14, ,2,      1299.00,       940.20
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1173.69,      1171.50,      1174.70,      1171.50,      1174.15,                  1331649.80,1134, ,10,      1298.00,      1113.50
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1225.50,      1225.55,      1229.00,      1220.00,      1225.70,                  4247150.79,3476, ,29,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1302.00,      1302.00,      1302.00,      1302.00,      1302.00,                   247380.00,190, ,3,      1520.00,      1210.00
N,N6,893NHB29,NHB 8.93 NCD TR II SR 2 B,      5831.00,      5832.00,      5832.00,      5832.00,      5832.00,                   559872.00,96, ,2,      5999.96,      5445.01
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6200.00,      6200.00,      6200.00,      6200.00,      6200.00,                    49600.00,8, ,3,      7390.00,      6103.00
N,N6,SCL01825,SCL 0% 2027 SR III,       986.35,       986.35,       986.35,       986.35,       986.35,                    19727.00,20, ,2,      1008.00,       911.62
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,      1000.00,      1177.00,      1177.00,      1000.00,      1000.00,                   179693.00,171, ,11,      1200.00,       970.14
