MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       110.99,       110.99,       113.06,       110.99,       113.06,                    57796.21,514,11,       113.06,       104.26,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        61.25,        61.34,        61.40,        60.90,        61.33,                   471340.25,7706,268,        63.26,        47.55,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,       999.99,      1000.00,      1000.01,       999.99,       999.99,                  6284011.30,6284,41,      1000.01,       999.99,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        72.12,        72.12,        72.43,        71.35,        72.15,                  1483187.10,20697,227,        75.45,        58.37,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.67,        10.73,        10.82,        10.55,        10.68,                 12539863.06,1179293,603,        11.00,         8.00,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        47.05,        47.55,        47.76,        46.63,        47.62,                 36475176.24,771944,2629,        52.94,        39.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        24.77,        24.89,        25.09,        24.61,        25.03,                 11909745.63,479227,798,        26.53,        19.61,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.47,        27.49,        27.70,        27.33,        27.66,                 13427555.70,488151,968,        28.72,        24.00,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        14.24,        14.24,        14.25,        13.10,        13.97,                 41303017.04,2951043,5715,        17.73,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1045.75,      1046.13,      1046.13,      1046.11,      1046.12,                 23795199.26,22746,187,      1060.00,       908.58,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,        10.50,        10.50,        10.80,        10.31,        10.52,                  2879199.65,274334,2188,        12.00,         9.47,NIFTY 50 INDEX
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,         9.63,         9.68,         9.83,         9.50,         9.61,                   698723.66,72766,232,        10.50,         9.09,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.82,        12.17,        12.17,        11.51,        11.81,                  3545339.00,300818,1808,        12.51,         9.63,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       283.38,       283.38,       283.38,       280.00,       281.94,                 31900293.29,113406,2881,       299.92,       197.07,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        28.45,        28.40,        28.47,        28.10,        28.28,                  6475770.80,229385,1876,        30.50,        19.72,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       618.15,       617.58,       619.10,       614.71,       618.55,                   145534.82,236,35,       632.72,       485.00,NIFTY BANK
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        13.14,        12.81,        13.53,        12.81,        13.15,                  1279426.95,97555,391,        14.50,        12.10,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,       119.92,       119.90,       123.48,       119.61,       120.80,                   431029.40,3578,34,       131.85,       101.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,       126.40,       127.99,       127.99,       123.17,       126.31,                402880611.48,3231977,13837,       150.00,        68.10,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       144.16,       140.55,       146.39,       140.55,       143.61,                  5875215.80,41064,50,       156.13,       127.43,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       245.33,       234.99,       238.87,       225.35,       235.30,                928744246.54,3961401,21680,       390.01,        86.48,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       281.71,       284.80,       284.80,       280.20,       282.52,                  4397639.28,15620,1104,       296.38,       236.80,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       396.36,       396.31,       396.31,       386.82,       390.63,                  1118779.27,2876,144,       469.44,       341.00,NIFTY IT INDEX
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        33.05,        33.20,        33.69,        32.43,        33.13,                  3982227.18,120940,463,        34.00,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        85.65,        85.65,        87.25,        84.25,        85.97,                   189568.06,2209,69,        91.35,        74.00,AXIS S&P BSE SENSEX ETF
N,EQ,BANKADD,DSPAMC - DSPBANK,        61.30,        61.17,        61.43,        60.78,        61.40,                   722996.05,11872,100,        62.71,        48.30,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       620.55,       620.55,       620.55,       616.10,       619.79,                177222990.94,286545,6285,       637.13,       490.00,NIFTY BANK
N,EQ,BANKBETA,UTIAMC-BANKBETA,        61.76,        61.73,        61.93,        61.50,        61.85,                  1148863.96,18614,394,        63.38,        48.71,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        60.92,        60.61,        61.00,        60.40,        60.88,                   527462.23,8697,239,        65.00,        47.00,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       610.09,       610.03,       610.85,       606.29,       609.79,                   962579.99,1581,81,       624.37,       481.38,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        61.46,        60.97,        61.58,        60.97,        61.49,                  8498065.52,138479,1221,        63.19,        47.55,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,       620.60,       615.60,       621.10,       615.60,       620.40,                  8154528.57,13181,420,       651.60,       490.15,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        89.61,        91.44,        91.44,        88.10,        89.05,                  1614695.59,18154,183,        93.07,        55.29,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1309.81,      1310.10,      1315.50,      1305.73,      1312.87,                  2243656.90,1711,70,      1346.89,      1221.00,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        60.00,        61.20,        61.20,        59.37,        60.51,                   137883.82,2283,52,        62.00,        47.43,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       147.70,       145.00,       152.00,       143.35,       147.10,                 11136661.40,76061,1073,       184.05,        80.60,BARODA BNP PARIBAS GOLD ETF
