GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,ITC LTD,       325.80,       310.20,5.03
G,KOTAK MAHINDRA BANK LTD,       422.35,       408.75,3.33
G,HINDUSTAN UNILEVER LTD.,      2424.20,      2354.40,2.96
G,BHARTI AIRTEL LIMITED,      2038.40,      1992.40,2.31
G,BAJAJ FINANCE LIMITED,       981.70,       964.75,1.76
G,BAJAJ FINSERV LTD.,      2024.20,      2000.10,1.20
G,POWER GRID CORP. LTD.,       292.75,       289.35,1.18
G,TITAN COMPANY LIMITED,      4141.00,      4097.60,1.06
G,SHRIRAM FINANCE LIMITED,      1002.50,       992.00,1.06
G,AXIS BANK LIMITED,      1341.60,      1330.60,0.83
G,HINDALCO  INDUSTRIES  LTD,       942.55,       935.45,0.76
G,ICICI BANK LTD.,      1406.10,      1396.50,0.69
G,RELIANCE INDUSTRIES LTD,      1450.80,      1443.40,0.51
G,APOLLO HOSPITALS ENTER. L,      7152.50,      7122.00,0.43
G,TATA CONSUMER PRODUCT LTD,      1159.30,      1155.90,0.29
G,COAL INDIA LTD,       432.80,       431.85,0.22
G,MAHINDRA & MAHINDRA LTD,      3578.00,      3572.00,0.17
G,LARSEN & TOUBRO LTD.,      4068.10,      4063.30,0.12
 , , , , 
L,HDFC LIFE INS CO LTD,       703.50,       720.70,-2.39
L,TATA CONSULTANCY SERV LT,      2941.60,      2991.50,-1.67
L,TECH MAHINDRA LIMITED,      1619.90,      1646.20,-1.60
L,BAJAJ AUTO LIMITED,      9518.50,      9647.00,-1.33
L,ASIAN PAINTS LIMITED,      2401.10,      2432.10,-1.27
L,TATA MOTORS PASS VEH LTD,       369.50,       374.15,-1.24
L,ADANI PORT & SEZ LTD,      1550.70,      1570.20,-1.24
L,ETERNAL LIMITED,       283.55,       286.85,-1.15
L,WIPRO LTD,       230.72,       233.39,-1.14
L,SBI LIFE INSURANCE CO LTD,      1996.70,      2017.80,-1.05
L,HCL TECHNOLOGIES LTD,      1593.70,      1610.00,-1.01
L,GRASIM INDUSTRIES LTD,      2836.90,      2863.90,-0.94
L,HDFC BANK LTD,       941.10,       949.70,-0.91
L,INFOSYS LIMITED,      1507.10,      1520.20,-0.86
L,BHARAT ELECTRONICS LTD,       429.65,       432.90,-0.75
L,JIO FIN SERVICES LTD,       268.10,       269.95,-0.69
L,STATE BANK OF INDIA,      1066.40,      1073.50,-0.66
L,INTERGLOBE AVIATION LTD,      4909.40,      4932.20,-0.46
L,ADANI ENTERPRISES LIMITED,      2226.40,      2236.60,-0.46
L,EICHER MOTORS LTD,      7177.50,      7209.50,-0.44
L,SUN PHARMACEUTICAL IND L,      1695.10,      1702.60,-0.44
L,TRENT LTD,      4113.80,      4131.30,-0.42
L,MARUTI SUZUKI INDIA LTD.,     14997.00,     15059.00,-0.41
L,ULTRATECH CEMENT LIMITED,     12722.00,     12773.00,-0.40
L,TATA STEEL LIMITED,       197.06,       197.76,-0.35
L,DR. REDDY S LABORATORIES,      1241.20,      1244.90,-0.30
L,JSW STEEL LIMITED,      1236.20,      1239.80,-0.29
L,CIPLA LTD,      1330.00,      1333.30,-0.25
L,OIL AND NATURAL GAS CORP.,       268.95,       269.20,-0.09
L,MAX HEALTHCARE INS LTD,      1039.85,      1040.80,-0.09
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,LIFE INSURA CORP OF INDIA,       901.85,       839.75,7.40
G,SIEMENS ENERGY INDIA LTD,      2740.60,      2598.90,5.45
G,VEDANTA LIMITED,       671.05,       655.20,2.42
G,GAIL (INDIA) LTD,       162.99,       160.18,1.75
G,PIDILITE INDUSTRIES LTD,      1489.10,      1469.60,1.33
G,UNITED SPIRITS LIMITED,      1377.00,      1359.40,1.29
G,TVS MOTOR COMPANY  LTD,      3758.50,      3712.70,1.23
G,CHOLAMANDALAM IN & FIN CO,      1742.20,      1722.30,1.16
G,BHARAT PETROLEUM CORP  LT,       386.35,       382.05,1.13
G,CG POWER AND IND SOL LTD,       674.85,       668.00,1.03
G,HYUNDAI MOTOR INDIA LTD,      2186.30,      2164.30,1.02
G,POWER FIN CORP LTD.,       419.20,       415.00,1.01
G,JINDAL STEEL LIMITED,      1189.90,      1178.00,1.01
G,BAJAJ HOLDINGS & INVS LTD,     10999.00,     10891.00,0.99
G,GODREJ CONSUMER PRODUCTS,      1181.80,      1170.20,0.99
G,ABB INDIA LIMITED,      5816.00,      5770.00,0.80
G,HINDUSTAN AERONAUTICS LTD,      4067.50,      4035.50,0.79
G,BRITANNIA INDUSTRIES LTD,      5911.00,      5870.50,0.69
