Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
06 FEB 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,06 FEB 2026,               5.00,          35286502,            171.00,     6034697572.05 
06 FEB 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,06 FEB 2026,              10.00,          10500000,             40.30,      423255000.00
06 FEB 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,06 FEB 2026,               1.00,         405057728,           1113.90,   451193803219.20    
06 FEB 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,06 FEB 2026,              10.00,         207396267,             15.20,     3154497221.05 
06 FEB 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,06 FEB 2026,              10.00,          11265070,          35190.00,   396417813300.00   
06 FEB 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,06 FEB 2026,               2.00,          18000000,             34.55,      622080000.00    
06 FEB 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,06 FEB 2026,              10.00,          31242338,            329.25,    10286539786.50    
06 FEB 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,06 FEB 2026,               2.00,          46078537,            634.20,    29223008165.40   
06 FEB 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,06 FEB 2026,              10.00,         176119858,             14.00,     2465678012.00  
06 FEB 2026,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,06 FEB 2026,              10.00,          12826800,             99.00,     1269853200.00   
06 FEB 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,06 FEB 2026,              10.00,         433796312,            474.70,   205923109306.40 
06 FEB 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,06 FEB 2026,              10.00,          14172816,             51.00,      722813616.00    
06 FEB 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,06 FEB 2026,               1.00,         101250000,              7.80,      789750000.00    
06 FEB 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,06 FEB 2026,              10.00,          14138000,            115.00,     1625870000.00  
06 FEB 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,06 FEB 2026,              10.00,          28354303,             67.20,     1904842075.55
06 FEB 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,06 FEB 2026,              10.00,          20946478,            163.20,     3418884139.15     
06 FEB 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,06 FEB 2026,               5.00,          31770376,             46.10,     1463978926.10   
06 FEB 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,06 FEB 2026,              10.00,          91270000,            374.65,    34194305500.00
06 FEB 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,06 FEB 2026,               5.00,         362593869,            440.95,   159885766535.55  
06 FEB 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,06 FEB 2026,               5.00,          90647294,            776.80,    70414817979.20
06 FEB 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,06 FEB 2026,              10.00,           8458495,            426.75,     3609662741.25 
06 FEB 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,06 FEB 2026,              10.00,          14810700,            130.95,     1939757379.00     
06 FEB 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,06 FEB 2026,               5.00,          22600000,             22.00,      497200000.00    
06 FEB 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,06 FEB 2026,              10.00,          79179511,           1301.40,   103044215615.40     
06 FEB 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,06 FEB 2026,               2.00,          58365323,             21.25,     1240263113.75      
06 FEB 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,06 FEB 2026,               2.00,         211908375,           5816.00,  1232459109000.00       
06 FEB 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,06 FEB 2026,              10.00,          21249302,          27365.00,   581487149230.00
06 FEB 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,06 FEB 2026,              10.00,        2617145082,            347.75,   910112202265.50 
06 FEB 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,06 FEB 2026,              10.00,          21963620,            427.75,     9394938455.00    
06 FEB 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,06 FEB 2026,               2.00,         279710151,            514.75,   143980800227.25      
06 FEB 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,06 FEB 2026,              10.00,        1220492475,             68.80,    83994292129.50     
06 FEB 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,06 FEB 2026,              10.00,          18587830,             32.90,      611539607.00 
06 FEB 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,06 FEB 2026,               1.00,         638789360,             20.40,    13031302944.00   
06 FEB 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,06 FEB 2026,              10.00,        1220504009,            111.20,   135695635720.60     
06 FEB 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,06 FEB 2026,              10.00,           9408000,             43.05,      404826240.00
06 FEB 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
06 FEB 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,06 FEB 2026,              10.00,         111695680,           1351.90,   151001389792.00     
06 FEB 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,06 FEB 2026,               5.00,         288777425,            813.00,   234776046525.00   
06 FEB 2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,06 FEB 2026,              10.00,          24550000,            173.25,     4253287500.00 
06 FEB 2026,ACC,EQ,ACC LIMITED              ,Listed    ,06 FEB 2026,              10.00,         187787263,           1667.40,   313116482326.20       
06 FEB 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,06 FEB 2026,              10.00,          14926261,           1274.20,    19019041766.20   
06 FEB 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,06 FEB 2026,              10.00,          23989020,            330.00,     7916376600.00 
06 FEB 2026,ACCORD,SM,ACCORD SYNERGY LIMITED   ,Listed    ,03 FEB 2026,              10.00,           3472000,             28.00,       97216000.00    
06 FEB 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,06 FEB 2026,              10.00,          11116000,             66.60,      740325600.00     
06 FEB 2026,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,Listed    ,06 FEB 2026,               1.00,         150560000,              5.15,      773878400.00  
06 FEB 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,06 FEB 2026,               2.00,         119083196,            919.45,   109491044562.20       
06 FEB 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,06 FEB 2026,              10.00,          10200000,             19.60,      199818000.00  
06 FEB 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,06 FEB 2026,               2.00,         123458394,            580.20,    71630560198.80       
06 FEB 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,06 FEB 2026,              10.00,          92172140,             58.55,     5397600518.40       
06 FEB 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,06 FEB 2026,               2.00,         605971804,            221.60,   134277292048.35 
06 FEB 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,06 FEB 2026,               5.00,          15015016,            170.00,     2552552720.00
06 FEB 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,06 FEB 2026,               5.00,          81871122,           1986.90,   162669732301.80   
06 FEB 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,06 FEB 2026,              10.00,        1201282642,           1017.70,  1222545344763.40
