MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     25642.80,     25605.80,     25703.95,     25491.90,     25693.70,1086556262484.41,4509173432,Y, ,32201702,     26373.20,     21743.65
Y,NIFTY50 EQL Wgt,     33237.45,     33173.60,     33241.55,     32935.25,     33224.30,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 EQL Wgt,     33826.40,     33758.10,     33866.75,     33494.55,     33844.40,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 LowVol30,     20571.15,     20551.55,     20638.55,     20413.35,     20627.45,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY Alpha 50,     49171.90,     49263.15,     49821.05,     48829.20,     49765.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY MIDCAP 150,     21931.50,     21881.15,     21950.10,     21663.30,     21926.85,0.00,0,Y, ,0,     22650.05,     17269.50
Y,NIFTY SMLCAP 50,      8285.10,      8246.65,      8276.50,      8136.90,      8266.00,0.00,0,Y, ,0,      9282.70,      6776.05
Y,NIFTY SMLCAP 250,     15919.15,     15870.40,     15880.40,     15689.90,     15864.50,0.00,0,Y, ,0,     18077.35,     13314.70
Y,NIFTY MIDSML 400,     19693.50,     19643.25,     19687.70,     19438.45,     19668.05,0.00,0,Y, ,0,     20668.15,     15832.85
Y,NIFTY200 QUALTY30,     20833.00,     20766.05,     20844.45,     20555.25,     20822.85,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty FinSrv25 50,     30310.90,     30257.50,     30385.35,     30081.15,     30367.50,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY AlphaLowVol,     26719.45,     26702.40,     26779.65,     26524.60,     26765.85,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200Momentm30,     30769.70,     30726.55,     30909.85,     30436.15,     30876.95,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100ESGSecLdr,      4286.25,      4280.90,      4292.60,      4256.85,      4290.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 ESG,      5137.55,      5131.50,      5142.05,      5090.75,      5138.95,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY M150 QLTY50,     23653.35,     23572.60,     23632.95,     23319.65,     23611.65,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY INDIA MFG,     15417.45,     15370.75,     15420.65,     15260.05,     15410.10,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Alpha 30,     24792.30,     24874.15,     25086.35,     24627.10,     25061.75,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyM150Momntm50,     61756.60,     61707.20,     62055.95,     61037.65,     61988.55,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty50 USD,      9834.65,      9834.65,      9999.10,      9746.60,      9811.05,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty IT,     36143.30,     36079.85,     36105.85,     35211.95,     35611.05,0.00,0,Y, ,0,     41606.75,     30918.95
Y,Nifty Next 50,     68970.40,     68772.65,     69128.55,     68166.65,     69058.40,0.00,0,Y, ,0,     70833.65,     56192.45
Y,Nifty Bank,     60063.65,     59967.10,     60149.90,     59644.55,     60120.55,0.00,0,Y, ,0,     61764.85,     47702.90
Y,NIFTY MIDCAP 100,     59517.10,     59400.75,     59573.60,     58757.80,     59502.70,0.00,0,Y, ,0,     61548.85,     46865.70
Y,Nifty 500,     23411.70,     23366.50,     23447.00,     23211.40,     23434.00,0.00,0,Y, ,0,     24144.20,     19519.85
Y,Nifty 100,     26248.30,     26204.25,     26309.25,     26069.50,     26297.30,0.00,0,Y, ,0,     26975.15,     22177.35
Y,Nifty Midcap 50,     17084.95,     17029.10,     17043.50,     16838.05,     17023.30,0.00,0,Y, ,0,     17572.45,     13269.65
Y,Nifty Realty,       819.70,       819.10,       826.10,       807.45,       824.85,0.00,0,Y, ,0,      1049.70,       742.20
Y,Nifty Infra,      9502.40,      9486.15,      9548.40,      9453.15,      9541.00,0.00,0,Y, ,0,      9792.60,      7589.95
Y,Nifty Energy,     36230.35,     36215.25,     36496.20,     36077.90,     36451.70,0.00,0,Y, ,0,     36938.90,     29313.20
Y,Nifty FMCG,     50731.65,     50667.85,     51935.55,     50383.90,     51882.75,0.00,0,Y, ,0,     58485.05,     49336.50
Y,Nifty MNC,     30663.55,     30592.80,     31022.95,     30491.40,     30983.05,0.00,0,Y, ,0,     31226.80,     23981.05
Y,Nifty Pharma,     22119.90,     22094.50,     22103.95,     21810.25,     21961.35,0.00,0,Y, ,0,     23492.55,     19121.10
Y,Nifty PSE,     10345.90,     10323.85,     10352.30,     10250.80,     10345.90,0.00,0,Y, ,0,     10456.15,      7956.45
Y,Nifty PSU Bank,      8921.70,      8902.45,      8937.05,      8758.30,      8876.20,0.00,0,Y, ,0,      9175.55,      5530.35
Y,Nifty Serv Sector,     33386.40,     33341.80,     33414.30,     33141.55,     33394.60,0.00,0,Y, ,0,     34549.75,     29070.85
Y,Nifty Auto,     27664.50,     27602.55,     27643.45,     27307.55,     27519.55,0.00,0,Y, ,0,     29179.10,     19316.65
Y,Nifty Metal,     11921.20,     11823.75,     11959.55,     11756.00,     11943.15,0.00,0,Y, ,0,     12509.75,      7690.20
Y,Nifty Media,      1393.00,      1393.00,      1393.60,      1376.25,      1390.75,0.00,0,Y, ,0,      1786.15,      1313.85
Y,NIFTY SMLCAP 100,     16983.90,     16914.40,     16956.95,     16705.35,     16938.65,0.00,0,Y, ,0,     19224.95,     14084.30
Y,Nifty 200,     14294.75,     14270.10,     14323.55,     14182.25,     14316.00,0.00,0,Y, ,0,     14700.95,     11941.45
Y,Nifty Div Opps 50,      6361.00,      6343.55,      6381.20,      6288.95,      6374.75,0.00,0,Y, ,0,      6584.65,      5288.60
Y,Nifty Commodities,      9880.20,      9838.55,      9902.40,      9801.60,      9894.65,0.00,0,Y, ,0,      9929.40,      7502.95
Y,Nifty Consumption,     11717.15,     11709.45,     11811.45,     11618.65,     11799.85,0.00,0,Y, ,0,     12716.20,     10090.65
Y,Nifty Fin Service,     27689.35,     27658.15,     27822.60,     27531.35,     27807.10,0.00,0,Y, ,0,     28275.20,     22842.60
Y,Nifty50 Div Point,       267.24,       271.20,       271.20,       271.20,       271.20,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Liq 15,      7469.95,      7474.25,      7524.00,      7433.85,      7517.10,0.00,0,Y, ,0,      7683.60,      5985.30
Y,Nifty CPSE,      6918.15,      6900.75,      6916.20,      6850.15,      6910.85,0.00,0,Y, ,0,      6978.35,      5284.25
Y,Nifty GrowSect 15,     11972.20,     11962.40,     11983.00,     11826.60,     11955.65,0.00,0,Y, ,0,     12852.45,      9722.65
Y,Nifty50 PR 2x Lev,     14060.25,     14018.00,     14125.05,     13893.35,     14114.35,0.00,0,Y, ,0,     31895.45,      1056.45
Y,Nifty50 PR 1x Inv,       204.45,       204.80,       205.70,       204.00,       204.10,0.00,0,Y, ,0,     31895.45,       197.80
Y,Nifty50 TR 2x Lev,     21068.75,     21011.95,     21172.45,     20825.20,     21156.40,0.00,0,Y, ,0,     31895.45,      1056.45
Y,Nifty50 TR 1x Inv,       167.20,       167.45,       168.15,       166.80,       166.85,0.00,0,Y, ,0,     31895.45,       161.80
