MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGUL,A G UNIVERSAL LIMITED,        73.95,        70.30,        70.30,        70.30,        70.30,                   843600.00,12000, ,        75.75,        37.30
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        51.00,        51.00,        51.00,        51.00,        51.00,                   326400.00,6400, ,       105.00,        51.00
N,SM,AARADHYA,AARADHYA DISPOSAL INDUS L,       114.00,       115.00,       115.00,       115.00,       115.00,                   138000.00,1200, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        21.75,        23.00,        23.00,        22.00,        22.00,                    90000.00,4000, ,        25.50,        14.50
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        34.25,        32.95,        32.95,        32.90,        32.90,                   105360.00,3200, ,        55.25,        26.45
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        25.00,        24.10,        24.10,        23.75,        23.75,                    71775.00,3000, ,        90.90,        23.75
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       176.80,       176.55,       176.95,       171.50,       173.25,                  5808100.00,33500, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       322.70,       323.00,       331.00,       323.00,       330.00,                  2460000.00,7500, ,       378.00,       180.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,        69.60,        68.50,        68.50,        66.15,        66.60,                  1356420.00,20400, ,       102.50,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       170.00,       170.00,       170.00,       170.00,       170.00,                   102000.00,600, ,       190.00,       147.05
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,       104.10,       101.00,       104.00,       101.00,       104.00,                  1804950.00,17500, ,       294.90,        90.00
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        22.50,        22.50,        22.50,        22.50,        22.50,                   135000.00,6000, ,        48.30,        21.35
