SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
NIPPONAMC - NETFSILVER,       236.42,       224.46,168889539,              37773092471.68
BHARTI AIRTEL LIMITED,      1992.40,      2038.40,13870403,              28035888422.20
KAYNES TECHNOLOGY IND LTD,      3616.10,      3700.30,6979879,              24888034648.50
ITC LTD,       310.20,       325.80,68057745,              21959853321.30
HITACHI ENERGY INDIA LTD,     19199.00,     21871.00,993958,              21463705020.00
INFOSYS LIMITED,      1520.20,      1507.10,13900866,              20861938490.90
HDFC BANK LTD,       949.70,       941.10,18120272,              17064339108.70
HINDUSTAN COPPER LTD,       607.30,       579.85,27714476,              16187135613.00
GODFREY PHILLIPS INDIA LT,      1982.00,      2188.30,7290096,              15831068469.30
FSN E COMMERCE VENTURES,       258.29,       276.99,57686215,              15695707155.49
ICICI BANK LTD.,      1396.50,      1406.10,10851190,              15220680762.50
LIFE INSURA CORP OF INDIA,       839.75,       901.85,15819930,              14167515985.95
TATA CONSULTANCY SERV LT,      2991.50,      2941.60,4687389,              13753236280.20
BAJAJ FINANCE LIMITED,       964.75,       981.70,13742927,              13441491072.00
RELIANCE INDUSTRIES LTD,      1443.40,      1450.80,8277304,              11942366313.00
NIP IND ETF GOLD BEES,       125.22,       125.04,95408028,              11844344131.65
MULTI COMMODITY EXCHANGE,      2410.40,      2380.40,4957750,              11705992629.20
VEDANTA LIMITED,       655.20,       671.05,16866400,              11118969990.60
BSE LIMITED,      2892.20,      2897.00,3598727,              10344334253.80
TATAAML-TATSILV,        24.09,        22.80,435212695,               9938148148.57
DATA PATTERNS INDIA LTD,      2523.50,      2723.70,3563917,               9555115845.70
MRF LTD,    134970.00,    146455.00,64381,               9257533125.00
PB FINTECH LIMITED,      1552.80,      1504.90,6021430,               9138334761.90
KOTAK MAHINDRA BANK LTD,       408.75,       422.35,21228778,               8879224594.20
TATA MOTORS PASS VEH LTD,       374.15,       369.50,23116970,               8608214795.15
